ring_key,depth_map_png,depth_gate_pass,depth_gate_reason,finite_ratio,row_nonempty_ratio,largest_empty_vertical_gap_frac,flag_missing_depth_map,flag_low_finite_ratio,flag_low_row_coverage,flag_large_empty_band,manual_review_required
4-6/r276,logs/v5_t45_depth_contract_v1/4-6/r276/depth_map.png,False,row_nonempty_ratio_low,0.7565340190540426,0.8747464503042597,0.06009127789046653,False,False,True,False,True
5-6/r285,logs/v5_t45_depth_contract_v1/5-6/r285/depth_map.png,False,row_nonempty_ratio_low;large_empty_vertical_gap,0.6503798882760481,0.7746478873239436,0.13532173432753383,False,False,True,True,True
4-1/r110,logs/v5_t45_depth_contract_v1/4-1/r110/depth_map.png,True,pass,0.7125602351935632,0.9264504339881224,0.020785746916400182,False,False,False,False,False
4-10/r398,logs/v5_t45_depth_contract_v1/4-10/r398/depth_map.png,True,pass,0.8371286040436765,0.9622079706825469,0.019926706367384334,False,False,False,False,False
4-2/r142,logs/v5_t45_depth_contract_v1/4-2/r142/depth_map.png,True,pass,0.8474663229458893,0.9488532110091743,0.018119266055045873,False,False,False,False,False
4-3/r177,logs/v5_t45_depth_contract_v1/4-3/r177/depth_map.png,True,pass,0.7495114031464636,0.9069447627779051,0.032775613110245246,False,False,False,False,False
4-4/r212,logs/v5_t45_depth_contract_v1/4-4/r212/depth_map.png,True,pass,0.8320607915672983,0.9301260022909508,0.02268041237113402,False,False,False,False,False
4-5/r249,logs/v5_t45_depth_contract_v1/4-5/r249/depth_map.png,True,pass,0.7954575680108759,0.9280806229958772,0.023133302794319743,False,False,False,False,False
4-7/r308,logs/v5_t45_depth_contract_v1/4-7/r308/depth_map.png,True,pass,0.812392129999805,0.9278185151237397,0.021769019248395968,False,False,False,False,False
4-8/r332,logs/v5_t45_depth_contract_v1/4-8/r332/depth_map.png,True,pass,0.8256596605690217,0.9276391115182047,0.021525074421799864,False,False,False,False,False
4-9/r363,logs/v5_t45_depth_contract_v1/4-9/r363/depth_map.png,True,pass,0.851536165590917,0.9330591729495088,0.022618231665524333,False,False,False,False,False
5-1/r118,logs/v5_t45_depth_contract_v1/5-1/r118/depth_map.png,True,pass,0.8444089255719252,0.9425235743152223,0.02088010776829816,False,False,False,False,False
5-2/r140,logs/v5_t45_depth_contract_v1/5-2/r140/depth_map.png,True,pass,0.7827917026793432,0.9166292134831461,0.02247191011235955,False,False,False,False,False
5-3/r192,logs/v5_t45_depth_contract_v1/5-3/r192/depth_map.png,True,pass,0.8094572057080501,0.931997297905877,0.02049088043233506,False,False,False,False,False
5-3/r195,logs/v5_t45_depth_contract_v1/5-3/r195/depth_map.png,True,pass,0.8008107879412601,0.9120879120879121,0.03745234357479255,False,False,False,False,False
5-4/r227,logs/v5_t45_depth_contract_v1/5-4/r227/depth_map.png,True,pass,0.8425197727199468,0.9351290684624018,0.020650953984287318,False,False,False,False,False
5-5/r254,logs/v5_t45_depth_contract_v1/5-5/r254/depth_map.png,True,pass,0.8559450215102292,0.9529597119063695,0.01845599819941481,False,False,False,False,False
5-5/r259,logs/v5_t45_depth_contract_v1/5-5/r259/depth_map.png,True,pass,0.8258124044000585,0.9369106421194432,0.0224517287831163,False,False,False,False,False
5-7/r317,logs/v5_t45_depth_contract_v1/5-7/r317/depth_map.png,True,pass,0.8538592425264764,0.9391011235955056,0.02044943820224719,False,False,False,False,False
5-7/r322,logs/v5_t45_depth_contract_v1/5-7/r322/depth_map.png,True,pass,0.6961342411293212,0.9387249380491102,0.022527596305474205,False,False,False,False,False
