ring_key,depth_map_path,depth_map_png,selected_interpolation_window,height_px,width_px,finite_ratio,row_nonempty_ratio,largest_empty_vertical_gap_px,largest_empty_vertical_gap_frac,depth_gate_pass,depth_gate_reason
4-1/r110,stages/v4/logs/v4_remaining_40_v1/4-1/r110/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-1/r110/depth_map.png,,,,,,,,False,missing_depth_map
4-10/r398,stages/v4/logs/v4_remaining_40_v1/4-10/r398/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-10/r398/depth_map.png,,,,,,,,False,missing_depth_map
4-2/r142,stages/v4/logs/v4_remaining_40_v1/4-2/r142/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-2/r142/depth_map.png,,,,,,,,False,missing_depth_map
4-3/r177,stages/v4/logs/v4_remaining_40_v1/4-3/r177/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-3/r177/depth_map.png,,4712.0,389.0,0.7036151203949005,0.8359507640067911,344.0,0.0730050933786078,False,row_nonempty_ratio_low
4-4/r212,stages/v4/logs/v4_remaining_40_v1/4-4/r212/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-4/r212/depth_map.png,,4712.0,366.0,0.7713041693339642,0.8609932088285229,342.0,0.07258064516129033,False,row_nonempty_ratio_low
4-5/r249,stages/v4/logs/v4_remaining_40_v1/4-5/r249/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-5/r249/depth_map.png,,,,,,,,False,missing_depth_map
4-6/r276,stages/v4/logs/v4_remaining_40_v1/4-6/r276/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-6/r276/depth_map.png,,4712.0,409.0,0.5886790631836315,0.6958828522920204,753.0,0.15980475382003395,False,finite_ratio_low;row_nonempty_ratio_low;large_empty_vertical_gap
4-7/r308,stages/v4/logs/v4_remaining_40_v1/4-7/r308/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-7/r308/depth_map.png,,4712.0,375.0,0.7504476513865308,0.8552631578947368,343.0,0.07279286926994907,False,row_nonempty_ratio_low
4-8/r332,stages/v4/logs/v4_remaining_40_v1/4-8/r332/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-8/r332/depth_map.png,,4712.0,366.0,0.7742985007468434,0.8618421052631579,331.0,0.07024617996604414,False,row_nonempty_ratio_low
4-9/r363,stages/v4/logs/v4_remaining_40_v1/4-9/r363/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/4-9/r363/depth_map.png,,4712.0,374.0,0.7878808685073041,0.8643887945670629,330.0,0.0700339558573854,False,row_nonempty_ratio_low
5-1/r118,stages/v4/logs/v4_remaining_40_v1/5-1/r118/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-1/r118/depth_map.png,,4712.0,378.0,0.7986363758859515,0.889855687606112,253.0,0.05369269949066214,False,row_nonempty_ratio_low
5-2/r140,stages/v4/logs/v4_remaining_40_v1/5-2/r140/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-2/r140/depth_map.png,,4712.0,364.0,0.7431866732588295,0.8741511035653651,257.0,0.054541595925297115,False,row_nonempty_ratio_low
5-3/r192,stages/v4/logs/v4_remaining_40_v1/5-3/r192/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-3/r192/depth_map.png,,4712.0,364.0,0.7658905716524562,0.8834889643463497,266.0,0.056451612903225805,False,row_nonempty_ratio_low
5-3/r195,stages/v4/logs/v4_remaining_40_v1/5-3/r195/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-3/r195/depth_map.png,,4712.0,379.0,0.758449767281426,0.8590831918505942,248.0,0.05263157894736842,False,row_nonempty_ratio_low
5-4/r227,stages/v4/logs/v4_remaining_40_v1/5-4/r227/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-4/r227/depth_map.png,,4712.0,383.0,0.8054198601869789,0.8853989813242784,252.0,0.053480475382003394,False,row_nonempty_ratio_low
5-5/r254,stages/v4/logs/v4_remaining_40_v1/5-5/r254/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-5/r254/depth_map.png,,,,,,,,False,missing_depth_map
5-5/r259,stages/v4/logs/v4_remaining_40_v1/5-5/r259/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-5/r259/depth_map.png,,4712.0,374.0,0.782906653169062,0.8824278438030561,253.0,0.05369269949066214,False,row_nonempty_ratio_low
5-6/r285,stages/v4/logs/v4_remaining_40_v1/5-6/r285/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-6/r285/depth_map.png,,4712.0,391.0,0.4839046196466333,0.5636672325976231,1068.0,0.2266553480475382,False,finite_ratio_low;row_nonempty_ratio_low;large_empty_vertical_gap
5-7/r317,stages/v4/logs/v4_remaining_40_v1/5-7/r317/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-7/r317/depth_map.png,,4712.0,383.0,0.8133585933586599,0.8921901528013583,257.0,0.054541595925297115,False,row_nonempty_ratio_low
5-7/r322,stages/v4/logs/v4_remaining_40_v1/5-7/r322/depth_map.npy,stages/v4/logs/v4_remaining_40_v1/5-7/r322/depth_map.png,,4712.0,386.0,0.6560094610167404,0.8890067911714771,263.0,0.055814940577249575,False,row_nonempty_ratio_low
